(KEYFUNCTION),(KEYPARAMINDEX),(CONVERTRULE),(ASSISTRULE),(COMBINERULE),(CONSTRUCTASSISTBEH),(CONSTRUCTBEHAVIOR),(TYPE)
FindNextUrlCacheEntry,NULL,NULL,NULL,NULL,NULL,cache_entry_find,5
FtpCreateDirectory,00|01||,NULL,00|Hinternet||,NULL,NULL,ftp_directory_create,5
FtpDeleteFile,00|01||,NULL,00|Hinternet||,NULL,NULL,ftp_file_delete,5
FtpFindFirstFile,00|01||,NULL,00|Hinternet||,NULL,05|01|Hinternet||,ftp_file_find,5
FtpGetFile,00|01|02||,NULL,00|Hinternet||,NULL,NULL,ftp_file_get,5
FtpOpenFile,01||,NULL,NULL,NULL,NULL,ftp_file_open,5
FtpPutFile,00|01|02||,NULL,00|Hinternet||,NULL,NULL,ftp_file_put,5
FtpRemoveDirectory,00|01||,NULL,00|Hinternet||,NULL,NULL,ftp_directory_remove,5
FtpRenameFile,00|01|02||,NULL,00|Hinternet||,NULL,NULL,ftp_file_rename,5
FtpSetCurrentDirectory,00|01||,NULL,00|Hinternet||,NULL,NULL,ftp_curdirectory_set,5
GetAdaptersInfo,NULL,NULL,NULL,NULL,NULL,network_info_query,5
gethostbyname,00||,NULL,NULL,NULL,NULL,hostname_get,5
HttpEndRequest,00||,NULL,00|Hinternet||,NULL,NULL,http_request_end,5
HttpOpenRequest,00|08||,NULL,00|Hinternet||,NULL,08|00|Hinternet||,http_request_open,5
HttpQueryInfo,00||,NULL,00|Hinternet||,NULL,NULL,http_info_query,5
HttpSendRequest,00||,NULL,00|Hinternet||,NULL,NULL,http_request_send,5
HttpSendRequestEx,00||,NULL,00|Hinternet||,NULL,NULL,http_request_send,5
inet_addr,00||,NULL,NULL,NULL,NULL,network_addr_format,5
InternetCanonicalizeUrl,NULL,NULL,NULL,NULL,NULL,network_assist_operate,5
InternetCloseHandle,NULL,NULL,NULL,NULL,NULL,internet_handle_close,5
InternetConnect,01|08||,NULL,NULL,NULL,08|01|Hinternet||,internet_connect,5
InternetCrackUrl,NULL,NULL,NULL,NULL,NULL,network_assist_operate,5
InternetCreateUrl,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
InternetDial,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
InternetFindNextFile,00||,NULL,00|Hinternet||,NULL,NULL,internet_file_find,5
InternetGetConnectedState,00|02||,00|dwNetFlag|02|BOOL||,NULL,NULL,NULL,connect_state_get,5
InternetGetCookie,00||,NULL,NULL,NULL,NULL,cookie_get,5
InternetGetCookieEx,00||,NULL,NULL,NULL,NULL,cookie_get,5
InternetGoOnline,NULL,NULL,NULL,NULL,NULL,internet_goline,5
InternetOpen,00|05||,NULL,NULL,NULL,05|00|Hinternet||,internet_open,5
InternetOpenUrl,01|06||,NULL,NULL,NULL,06|01|Hinternet||,internet_url_open,5
InternetReadFile,00||,NULL,00|Hinternet||,NULL,NULL,internet_file_read,5
InternetReadFileEx,00||,NULL,00|Hinternet||,NULL,NULL,internet_file_read,5
InternetSetCookie,00||,NULL,NULL,NULL,NULL,internet_cookie_set,5
InternetSetCookieEx,00||,NULL,NULL,NULL,NULL,internet_cookie_set,5
InternetSetOption,00||,NULL,00|Hinternet||,NULL,NULL,internet_option_set,5
InternetSetOptionEx,NULL,NULL,NULL,NULL,NULL,internet_option_set,5
InternetWriteFile,00||,NULL,00|Hinternet||,NULL,NULL,internet_file_write,5
listen,NULL,NULL,NULL,NULL,NULL,socket_listen,5 
Netbios,NULL,NULL,NULL,NULL,NULL,network_bios,5
ReadUrlCacheEntryStream,00||,NULL,00|Handle||,NULL,NULL,url_cacheentry_read,5
ReadUrlCacheEntryStreamEx,00||,NULL,00|Handle||,NULL,NULL,url_cacheentry_read,5
recv,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
recvfrom,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
ResumeSuspendedDownload,00||,NULL,00|Hinternet||,NULL,NULL,download_resume,5
RetrieveUrlCacheEntryStream,00|05||,NULL,NULL,NULL,05|00|Handle||,NULL,5
send,NULL,NULL,NULL,NULL,NULL,socket_send,5
sendto,NULL,NULL,NULL,NULL,NULL,socket_send,5
sethostname,01||,NULL,NULL,NULL,NULL,hostname_set,5
setsockopt,NULL,NULL,NULL,NULL,NULL,socket_option_set,5
SetUrlCacheEntryGroup,NULL,NULL,NULL,NULL,NULL,url_cache_set,5
SetUrlCacheGroupAttribute,NULL,NULL,NULL,NULL,NULL,url_cache_set,5
SetUrlCacheHeaderData,NULL,NULL,NULL,NULL,NULL,url_cache_set,5
socket,00|01|02||,00|socket_AF|01|socket_TYPE|02|socket_PROTOCOL||,NULL,NULL,NULL,socket_create,5
URLDownloadToFile,01|02|05||,05|dwURLretVal||,NULL,NULL,NULL,internet_file_download,5
WSAConnect,01||,NULL,NULL,NULL,NULL,socket_connect,5
WSARecv,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
WSARecvDisconnect,NULL,NULL,NULL,NULL,NULL,wsa_disconnect,5
WSARecvEx,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
WSARecvFrom,NULL,NULL,NULL,NULL,NULL,network_data_transfer,5
WSASend,NULL,NULL,NULL,NULL,NULL,socket_send,5
WSASendDisconnect,NULL,NULL,NULL,NULL,NULL,wsa_disconnect,5
WSASendTo,NULL,NULL,NULL,NULL,NULL,socket_send,5
WSASocket,00|01|02||,00|socket_AF|01|socket_TYPE|02|socket_PROTOCOL||,NULL,NULL,NULL,socket_create,5
AddAccessAllowedAce,03||,NULL,NULL,NULL,NULL,accessallowedACE_add,6
AddAccessAllowedAceEx,04||,NULL,NULL,NULL,NULL,accessallowedACE_add,6
AddAccessAllowedObjectAce,06||,NULL,NULL,NULL,NULL,accessallowedACE_add,6
AddAccessDeniedAce,03||,NULL,NULL,NULL,NULL,accessdeniedACE_add,6
AddAccessDeniedAceEx,04||,NULL,NULL,NULL,NULL,accessdeniedACE_add,6
AddAccessDeniedObjectAce,06||,NULL,NULL,NULL,NULL,accessdeniedACE_add,6
AddAce,NULL,NULL,NULL,NULL,NULL,ACE_add,6
AddAuditAccessAce,NULL,NULL,NULL,NULL,NULL,aduit_accessACE_add,6
AddAuditAccessAceEx,NULL,NULL,NULL,NULL,NULL,aduit_accessACE_add,6
AddAuditAccessObjectAce,NULL,NULL,NULL,NULL,NULL,aduit_accessACE_add,6
AddUsersToEncryptedFile,00||,NULL,NULL,NULL,NULL,encryptedfile_users_add,6
